barrio_1,ambientes,m2total,db_lo_num,preciousd,precio_x_m2,latitud,longitud
CABALLITO,2.0,43.0,75.0,134760.0,3133.953488372093,-34.622973,-58.439913
CABALLITO,2.0,43.0,75.0,144391.0,3357.9302325581393,-34.622973,-58.439913
CABALLITO,2.0,43.0,75.0,145055.0,3373.3720930232557,-34.622973,-58.439913
CABALLITO,2.0,43.0,75.0,142952.0,3324.4651162790697,-34.622973,-58.439913
CABALLITO,2.0,44.0,75.0,138448.0,3146.5454545454545,-34.622973,-58.439913
CABALLITO,2.0,44.0,75.0,144700.0,3288.6363636363635,-34.622973,-58.439913
CABALLITO,2.0,44.0,75.0,139785.0,3176.931818181818,-34.622973,-58.439913
CABALLITO,2.0,44.0,75.0,143260.0,3255.909090909091,-34.622973,-58.439913
CABALLITO,2.0,44.0,75.0,145399.0,3304.5227272727275,-34.622973,-58.439913
CABALLITO,4.0,133.0,75.0,475015.0,3571.5413533834585,-34.622973,-58.439913
CABALLITO,4.0,133.0,75.0,461390.0,3469.097744360902,-34.622973,-58.439913
CABALLITO,3.0,80.0,75.0,290000.0,3625.0,-34.626945,-58.450947
CABALLITO,2.0,41.0,80.0,130000.0,3170.731707317073,-34.608165,-58.438709
CABALLITO,3.0,53.0,70.0,182000.0,3433.9622641509436,-34.61147,-58.438124
CABALLITO,4.0,94.0,80.0,274000.0,2914.8936170212764,-34.608357,-58.438768
CABALLITO,4.0,100.0,70.0,260000.0,2600.0,-34.615009,-58.436524
CABALLITO,4.0,136.0,70.0,375000.0,2757.3529411764707,-34.612558,-58.43764
CABALLITO,1.0,29.0,70.0,70000.0,2413.793103448276,-34.615587,-58.436389
CABALLITO,1.0,38.0,75.0,84937.0,2235.184210526316,-34.607236,-58.44498
CABALLITO,4.0,150.0,75.0,499000.0,3326.6666666666665,-34.606172,-58.441202
CABALLITO,4.0,160.0,75.0,520000.0,3250.0,-34.606172,-58.440966
CABALLITO,3.0,91.0,70.0,183000.0,2010.989010989011,-34.620928,-58.445874
CABALLITO,3.0,94.0,70.0,222000.0,2361.7021276595747,-34.619355,-58.437469
CABALLITO,3.0,65.0,70.0,175000.0,2692.3076923076924,-34.611178,-58.456763
CABALLITO,4.0,93.0,65.0,210000.0,2258.064516129032,-34.60959,-58.430722
CABALLITO,1.0,37.0,70.0,132000.0,3567.5675675675675,-34.616803,-58.447506
CABALLITO,2.0,43.0,65.0,95000.0,2209.3023255813955,-34.610782,-58.433526
CABALLITO,3.0,72.0,80.0,174500.0,2423.6111111111113,-34.613563,-58.440032
CABALLITO,1.0,31.0,70.0,86000.0,2774.1935483870966,-34.61733,-58.449406
CABALLITO,3.0,77.0,65.0,160000.0,2077.9220779220777,-34.61547,-58.435967
CABALLITO,3.0,43.0,75.0,115000.0,2674.4186046511627,-34.610866,-58.442878
CABALLITO,1.0,28.0,75.0,77300.0,2760.714285714286,-34.606916,-58.444079
CABALLITO,1.0,44.0,75.0,103701.0,2356.840909090909,-34.606916,-58.444079
CABALLITO,1.0,23.0,75.0,73844.0,3210.608695652174,-34.606916,-58.444079
CABALLITO,1.0,31.0,75.0,78228.0,2523.483870967742,-34.606916,-58.444079
CABALLITO,1.0,36.0,75.0,105000.0,2916.6666666666665,-34.624304,-58.440603
CABALLITO,2.0,56.0,75.0,155000.0,2767.8571428571427,-34.607741,-58.446506
CABALLITO,4.0,101.0,75.0,190000.0,1881.1881188118812,-34.605888,-58.46038
CABALLITO,4.0,76.0,70.0,285000.0,3750.0,-34.626998,-58.444302
CABALLITO,3.0,72.0,75.0,169000.0,2347.222222222222,-34.616207,-58.431781
CABALLITO,3.0,54.0,70.0,95000.0,1759.2592592592594,-34.620928,-58.445874
CABALLITO,4.0,108.0,75.0,240000.0,2222.222222222222,-34.606633,-58.450679
CABALLITO,2.0,43.0,75.0,124900.0,2904.6511627906975,-34.615302,-58.437554
